iter	Passed	Remaining
0	30	30461
1	62	31393
2	91	30482
3	117	29266
4	146	29149
5	172	28540
6	197	28061
7	223	27722
8	249	27428
9	279	27694
10	306	27522
11	334	27556
12	359	27324
13	387	27308
14	412	27087
15	440	27121
16	466	26976
17	493	26922
18	521	26920
19	550	26980
20	580	27052
21	612	27219
22	641	27264
23	674	27446
24	706	27572
25	734	27531
26	762	27478
27	793	27558
28	819	27436
29	848	27433
30	878	27455
31	906	27432
32	937	27460
33	970	27579
34	1002	27640
35	1034	27690
36	1062	27660
37	1085	27484
38	1112	27425
39	1143	27446
40	1173	27451
41	1201	27405
42	1227	27320
43	1258	27343
44	1288	27334
45	1315	27276
46	1345	27281
47	1376	27302
48	1407	27309
49	1438	27337
50	1471	27385
51	1506	27455
52	1538	27482
53	1570	27519
54	1602	27534
55	1632	27513
56	1664	27531
57	1697	27563
58	1729	27590
59	1762	27617
60	1795	27632
61	1828	27661
62	1859	27657
63	1889	27636
64	1917	27589
65	1950	27600
66	1980	27573
67	2013	27598
68	2038	27509
69	2067	27470
70	2099	27468
71	2130	27464
72	2162	27460
73	2193	27446
74	2228	27479
75	2262	27512
76	2297	27534
77	2330	27546
78	2362	27538
79	2395	27548
80	2428	27552
81	2460	27541
82	2491	27521
83	2522	27508
84	2554	27499
85	2586	27490
86	2617	27469
87	2643	27392
88	2671	27346
89	2701	27319
90	2731	27288
91	2760	27249
92	2791	27220
93	2821	27191
94	2850	27153
95	2880	27121
96	2905	27046
97	2934	27008
98	2964	26983
99	2992	26928
100	3019	26873
101	3047	26829
102	3075	26786
103	3105	26754
104	3134	26716
105	3162	26675
106	3194	26658
107	3226	26652
108	3258	26635
109	3292	26640
110	3325	26631
111	3354	26593
112	3384	26570
113	3413	26528
114	3442	26495
115	3475	26486
116	3507	26472
117	3537	26441
118	3569	26423
119	3598	26391
120	3630	26372
121	3660	26342
122	3693	26331
123	3726	26328
124	3756	26298
125	3786	26265
126	3815	26226
127	3841	26173
128	3871	26142
129	3898	26092
130	3928	26059
131	3960	26044
132	3991	26021
133	4022	25994
134	4056	25989
135	4091	25991
136	4125	25990
137	4159	25978
138	4191	25963
139	4222	25936
140	4254	25917
141	4285	25891
142	4315	25860
143	4344	25824
144	4375	25800
145	4407	25779
146	4440	25765
147	4471	25742
148	4501	25708
149	4532	25685
150	4563	25658
151	4592	25619
152	4621	25583
153	4650	25550
154	4682	25529
155	4717	25521
156	4749	25499
157	4777	25460
158	4805	25416
159	4832	25371
160	4860	25328
161	4888	25286
162	4918	25258
163	4951	25241
164	4982	25212
165	5010	25175
166	5041	25145
167	5073	25127
168	5104	25101
169	5135	25074
170	5166	25044
171	5195	25011
172	5228	24992
173	5258	24962
174	5288	24931
175	5317	24896
176	5351	24881
177	5382	24854
178	5413	24827
179	5443	24798
180	5471	24759
181	5499	24718
182	5532	24697
183	5565	24680
184	5598	24662
185	5629	24638
186	5661	24615
187	5693	24592
188	5723	24557
189	5755	24538
190	5784	24500
191	5815	24471
192	5843	24432
193	5871	24392
194	5901	24360
195	5933	24340
196	5963	24309
197	5991	24269
198	6020	24233
199	6048	24195
200	6077	24158
201	6108	24132
202	6138	24102
203	6168	24068
204	6199	24041
205	6230	24014
206	6256	23966
207	6287	23939
208	6318	23914
209	6351	23892
210	6381	23863
211	6413	23840
212	6445	23814
213	6475	23782
214	6506	23756
215	6537	23727
216	6567	23698
217	6601	23681
218	6634	23658
219	6664	23627
220	6698	23609
221	6730	23587
222	6762	23563
223	6794	23536
224	6826	23512
225	6858	23489
226	6891	23466
227	6922	23440
228	6952	23407
229	6980	23370
230	7009	23334
231	7040	23306
232	7070	23273
233	7101	23247
234	7132	23219
235	7164	23192
236	7196	23170
237	7228	23143
238	7259	23114
239	7289	23082
240	7320	23053
241	7352	23030
242	7381	22995
243	7414	22974
244	7447	22949
245	7477	22919
246	7511	22899
247	7545	22879
248	7581	22866
249	7615	22845
250	7649	22827
251	7683	22806
252	7713	22775
253	7744	22746
254	7777	22722
255	7806	22686
256	7836	22656
257	7865	22619
258	7896	22591
259	7926	22559
260	7955	22524
261	7984	22491
262	8017	22467
263	8048	22438
264	8078	22406
265	8109	22377
266	8143	22355
267	8176	22331
268	8208	22306
269	8243	22287
270	8273	22255
271	8303	22223
272	8335	22198
273	8367	22171
274	8399	22144
275	8431	22117
276	8464	22093
277	8498	22070
278	8528	22039
279	8560	22013
280	8590	21981
281	8625	21961
282	8655	21928
283	8685	21898
284	8716	21868
285	8745	21832
286	8778	21808
287	8810	21780
288	8840	21750
289	8872	21721
290	8903	21693
291	8934	21663
292	8967	21637
293	8998	21608
294	9029	21579
295	9061	21551
296	9095	21528
297	9125	21498
298	9156	21467
299	9187	21436
300	9217	21404
301	9248	21375
302	9277	21341
303	9307	21308
304	9338	21278
305	9368	21248
306	9399	21217
307	9436	21200
308	9467	21171
309	9502	21150
310	9538	21130
311	9572	21107
312	9604	21081
313	9636	21051
314	9669	21027
315	9701	21000
316	9730	20966
317	9763	20938
318	9795	20910
319	9826	20880
320	9862	20861
321	9897	20839
322	9931	20815
323	9960	20782
324	9992	20753
325	10024	20724
326	10054	20694
327	10086	20665
328	10118	20637
329	10147	20601
330	10177	20571
331	10209	20541
332	10240	20512
333	10271	20481
334	10300	20446
335	10330	20414
336	10357	20376
337	10383	20337
338	10413	20303
339	10440	20267
340	10471	20236
341	10501	20205
342	10532	20174
343	10562	20141
344	10593	20112
345	10622	20078
346	10653	20047
347	10684	20017
348	10713	19984
349	10742	19951
350	10773	19919
351	10805	19891
352	10836	19861
353	10866	19829
354	10899	19803
355	10930	19772
356	10961	19743
357	10994	19717
358	11026	19688
359	11056	19656
360	11089	19629
361	11119	19596
362	11151	19569
363	11183	19540
364	11213	19508
365	11242	19475
366	11273	19444
367	11303	19412
368	11336	19385
369	11365	19352
370	11396	19322
371	11425	19288
372	11457	19259
373	11486	19225
374	11517	19195
375	11546	19161
376	11578	19133
377	11614	19111
378	11646	19083
379	11677	19052
380	11708	19022
381	11738	18990
382	11768	18959
383	11801	18930
384	11830	18898
385	11859	18864
386	11890	18834
387	11920	18801
388	11948	18767
389	11978	18735
390	12013	18712
391	12048	18687
392	12081	18659
393	12115	18633
394	12148	18607
395	12180	18578
396	12208	18543
397	12240	18514
398	12271	18483
399	12303	18454
400	12334	18424
401	12366	18396
402	12402	18373
403	12441	18354
404	12473	18325
405	12504	18295
406	12538	18269
407	12571	18240
408	12602	18210
409	12634	18180
410	12665	18150
411	12695	18119
412	12725	18087
413	12757	18057
414	12787	18025
415	12817	17993
416	12846	17960
417	12878	17931
418	12908	17898
419	12940	17870
420	12973	17842
421	13003	17810
422	13035	17781
423	13066	17750
424	13096	17719
425	13127	17687
426	13156	17655
427	13186	17622
428	13215	17590
429	13245	17557
430	13274	17525
431	13306	17495
432	13338	17466
433	13369	17435
434	13399	17404
435	13429	17371
436	13456	17336
437	13487	17305
438	13518	17275
439	13550	17245
440	13578	17211
441	13608	17180
442	13638	17147
443	13668	17116
444	13698	17084
445	13728	17053
446	13757	17020
447	13788	16989
448	13819	16959
449	13849	16927
450	13879	16894
451	13910	16865
452	13941	16833
453	13971	16802
454	14001	16770
455	14032	16741
456	14066	16713
457	14099	16685
458	14132	16657
459	14164	16627
460	14194	16595
461	14224	16564
462	14254	16532
463	14286	16503
464	14319	16475
465	14352	16447
466	14392	16426
467	14423	16396
468	14454	16365
469	14485	16334
470	14516	16303
471	14547	16273
472	14578	16242
473	14607	16210
474	14638	16179
475	14668	16148
